country;latitude;longitude;time;weather_code;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;daylight_duration;sunshine_duration;uv_index_max;uv_index_clear_sky_max;precipitation_hours;wind_speed_10m_max;wind_gusts_10m_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum
Mauritania;21.0;-10.9;2025-02-04;0;20.6;10.8;15.4;6.1;2025-02-04T10:19:00+03:00;2025-02-04T21:35:00+03:00;40601.23;37905.43;5.8;5.8;0.0;24.1;37.8;0.0;0.0;0.0;0.0
Montserrat;16.75;-62.25;2025-01-29;2;25.3;23.7;27.8;24.9;2025-01-29T09:40:00+03:00;2025-01-29T21:03:00+03:00;40986.27;38339.57;7.4;7.4;1.0;24.1;34.6;0.1;0.0;0.2;0.0
Montserrat;16.75;-62.25;2025-01-30;2;24.5;23.3;25.5;23.0;2025-01-30T09:40:00+03:00;2025-01-30T21:04:00+03:00;41029.32;38386.9;7.4;7.4;5.0;28.0;40.3;0.5;0.0;0.5;0.0
Malta;35.94;14.38;2025-01-30;3;17.4;13.8;14.6;10.3;2025-01-30T10:04:00+03:00;2025-01-30T20:27:00+03:00;37375.18;32880.49;3.5;4.15;0.0;26.2;50.4;0.0;0.0;0.0;0.0
Mauritius;-20.38;57.5;2025-02-01;3;28.1;20.5;31.5;23.5;2025-02-01T08:53:00+03:00;2025-02-01T21:53:00+03:00;46780.57;44096.8;8.9;9.9;0.0;17.7;41.8;0.0;0.0;0.0;0.0
Maldives;3.25;73.25;2025-01-31;80;27.5;26.9;32.9;30.6;2025-01-31T09:20:00+03:00;2025-01-31T21:19:00+03:00;43133.1;39566.03;9.0;9.0;17.0;19.8;27.7;4.4;0.0;4.4;0.0
Mexico;23.62;-102.5;2025-01-30;3;24.3;7.5;18.3;4.5;2025-01-30T10:31:00+03:00;2025-01-30T21:35:00+03:00;39866.88;36146.87;6.75;6.75;0.0;31.2;54.4;0.0;0.0;0.0;0.0
Mexico;23.62;-102.5;2025-02-02;80;20.0;8.3;16.7;6.3;2025-02-02T10:29:00+03:00;2025-02-02T21:37:00+03:00;40063.94;35821.44;6.9;6.85;6.0;14.9;25.9;0.6;0.0;0.6;0.0
Malaysia;4.25;102.0;2025-02-02;45;30.9;20.9;36.9;24.9;2025-02-02T10:27:00+03:00;2025-02-02T22:23:00+03:00;43003.19;35361.34;0.9;8.65;0.0;4.7;15.5;0.0;0.0;0.0;0.0
Mozambique;-18.62;35.5;2025-01-31;3;35.8;20.6;40.9;23.5;2025-01-31T08:23:00+03:00;2025-01-31T21:19:00+03:00;46531.51;43722.85;9.6;9.6;0.0;11.9;27.7;0.0;0.0;0.0;0.0
Mozambique;-18.62;35.5;2025-02-04;2;34.1;24.0;37.4;28.4;2025-02-04T08:25:00+03:00;2025-02-04T21:17:00+03:00;46320.17;43889.91;6.85;9.1;0.0;18.9;43.6;0.0;0.0;0.0;0.0
