Origin;Transport Mode;Indicator;Footnoote;Missing value notes;Value
France;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.856
France;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.025
France;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.015
Gambia;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;2.359
Georgia;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.018
Georgia;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.03
Germany;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.056
Ghana;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.015
Gibraltar;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.019
Greece;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Greenland;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.033
Greenland;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Grenada;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.177
Guatemala;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.047
Holy See;Non-identified mode;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Holy See;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Honduras;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.02
Honduras;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Hungary;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.027
Iceland;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Iceland;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.026
Iceland;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;1.131
Iceland;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
India;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.011
India;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.462
Indonesia;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Indonesia;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.285
Indonesia;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Iraq;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.975
Ireland;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.014
Ireland;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.013
Israel;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Italy;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.39
Jamaica;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.042
Jamaica;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Japan;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.065
Japan;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.245
Jordan;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.032
Jordan;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.039
Jordan;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.017
Kazakhstan;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.022
Kazakhstan;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.0
Kazakhstan;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.05
Kazakhstan;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Kenya;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.031
Korea, Republic of;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.41
Korea, Republic of;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.024
Korea, Republic of;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.011
Kuwait;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.022
Kuwait;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Lao People's Dem. Rep.;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Lao People's Dem. Rep.;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.013
Latvia;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.002
Lebanon;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.365
Lebanon;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.028
Lesotho;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.022
Lesotho;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.079
Liberia;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.124
Libya;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.109
Libya;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.196
Lithuania;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Lithuania;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.542
Luxembourg;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.705
Luxembourg;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Madagascar;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Madagascar;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.015
Madagascar;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.011
Mali;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.36
Malta;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.003
Marshall Islands;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;7.702
Marshall Islands;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;3.518
Mauritania;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.173
Mauritania;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Mauritius;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.061
Micronesia (Federated States of);All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.352
Micronesia (Federated States of);Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.308
Micronesia (Federated States of);Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.332
Moldova, Republic of;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Moldova, Republic of;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.0
Moldova, Republic of;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.0
Moldova, Republic of;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Mongolia;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.069
Montenegro;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.483
Morocco;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.014
Myanmar;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.012
Nauru;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.059
Nepal;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.33
Nepal;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.319
Netherlands (Kingdom of the);All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.009
Netherlands (Kingdom of the);Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.009
Netherlands (Kingdom of the);Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.615
Netherlands (Kingdom of the);Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.02
Netherlands (Kingdom of the);Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
New Caledonia;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
New Caledonia;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
New Zealand;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.016
New Zealand;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.014
New Zealand;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.012
Nicaragua;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.054
Nicaragua;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Nigeria;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.004
Norfolk Island;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Norfolk Island;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.08
North Macedonia;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.095
North Macedonia;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.41
North Macedonia;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.046
Norway;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.028
Pakistan;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.015
Pakistan;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Panama;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.397
Panama;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.463
Papua New Guinea;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.028
Papua New Guinea;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Papua New Guinea;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.025
Paraguay;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Paraguay;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.006
Peru;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Philippines;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Poland;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.041
Portugal;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.018
Portugal;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.006
Qatar;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.026
Qatar;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.006
Romania;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.129
Russian Federation;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Rwanda;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Saint Barthelemy;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Saint Helena;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Saint Helena;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Saint Kitts and Nevis;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Saint Kitts and Nevis;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.065
Saint Lucia;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.332
Saint Vincent and the Grenadines;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Sao Tome and Principe;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;1.284
Senegal;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.636
Senegal;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Serbia;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.068
Serbia;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Seychelles;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.064
Singapore;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Singapore;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.004
Singapore;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Slovakia;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Slovenia;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.002
Solomon Islands;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.418
Somalia;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.207
Somalia;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.002
South Georgia and South Sandwich Islands;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
South Georgia and South Sandwich Islands;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
South Sudan;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
South Sudan;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;2.104
South Sudan;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.003
Spain;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.013
Spain;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.001
Sri Lanka;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.036
Sri Lanka;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.066
Sri Lanka;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
State of Palestine;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Sudan;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.165
Sudan;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.232
Sudan;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Syrian Arab Republic;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.034
Syrian Arab Republic;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.009
Tanzania, United Republic of;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.031
Tanzania, United Republic of;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Thailand;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.018
Thailand;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Togo;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.007
Tunisia;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Turkmenistan;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Uganda;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.034
Uganda;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.03
Uganda;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Ukraine;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.007
Ukraine;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.293
United Arab Emirates;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
United Arab Emirates;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.09
United Kingdom;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.017
United Kingdom;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
United States of America;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
United States of America;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.436
Uruguay;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.009
Uruguay;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.007
Uzbekistan;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.135
Uzbekistan;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.074
Venezuela (Bolivarian Rep. of);All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.007
Venezuela (Bolivarian Rep. of);Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
Viet Nam;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.036
Viet Nam;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.009
Wallis and Futuna Islands;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Western Sahara;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.05
World;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
World;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Africa;Non-identified mode;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Northern Africa;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.032
Sub-Saharan Africa;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.008
Eastern Africa;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Middle Africa;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.016
Southern Africa;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
Western Africa;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.008
Western Africa;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
Americas;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Americas;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.011
Americas;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.139
Northern America;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.014
Northern America;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Latin America and the Caribbean;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Caribbean;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
Caribbean;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.412
Central America;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.053
South America;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Asia;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.02
Central Asia;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.067
South-eastern Asia;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.011
South-eastern Asia;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.009
Southern Asia;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.011
Southern Asia;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.004
Western Asia;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Europe;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Europe;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.502
Europe;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.006
Eastern Europe;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.012
Eastern Europe;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Northern Europe;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.92
Northern Europe;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.006
Northern Europe;Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.004
Northern Europe;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Southern Europe;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.016
Western Europe;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.025
Western Europe;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.967
Asia and Oceania;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.015
Asia and Oceania;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Northern America and Europe;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Northern America and Europe;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.016
Europe, Northern America, Australia and New Zealand;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.429
Europe, Northern America, Australia and New Zealand;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.012
Central and Southern Asia;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Eastern and South-Eastern Asia;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Eastern and South-Eastern Asia;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.285
Eastern and South-Eastern Asia;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
Developing economies;Non-identified mode;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Developing economies;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.207
Developing economies;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
Developing economies: Africa;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.018
Developing economies: Africa;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
Developing economies: Africa;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Developing economies: Asia and Oceania;Non-identified mode;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Developing economies: Asia and Oceania;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Developing economies: Asia and Oceania;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.018
Developing economies: Asia and Oceania;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.019
Developing economies: Asia and Oceania;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
Developing economies: Asia;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Developing economies: Asia;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.019
Developing economies: Oceania;Non-identified mode;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Developed economies;Non-identified mode;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Developed economies: Americas;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Developed economies: Americas;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.43
Developed economies: Asia and Oceania;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.243
Developed economies: Asia;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.037
Developed economies: Asia;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
Developed economies: Europe;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.017
Developing economies excluding China;Non-identified mode;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Developing economies excluding China;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
Developing economies excluding LDCs;Other modes;Transport_cost_intensity_in_US_per_tonkm_Value;;Not available or not separately reported;
LDCs (Least developed countries);Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.07
LDCs (Least developed countries);Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.071
LDCs: Africa;Air;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.201
LDCs: Africa;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.002
LDCs: Africa;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
LDCs: Asia;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.018
LDCs: Asia;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.041
LDCs: Islands and Haiti;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.11
LDCs: Islands and Haiti;Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.086
LDCs: Islands and Haiti;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
LLDCs (Landlocked developing countries);Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.012
LLDCs (Landlocked developing countries);Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
SIDS (Small island developing States) (UN-OHRLLS);All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.014
SIDS (Small island developing States) (UN-OHRLLS);Sea;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.011
SIDS (Small island developing States) (UN-OHRLLS);Road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.032
SIDS: Atlantic and Indian Ocean;All modes;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.014
SIDS: Caribbean;Subtotal: air, sea, rail, road;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.005
SIDS: Pacific;Multimodal adjustment;Transport_cost_intensity_in_US_per_tonkm_Value;;Not applicable;
Low-income developing economies;Railway;Transport_cost_intensity_in_US_per_tonkm_Value;Experimental;;0.003
